iter	Logloss
0	0.66435333
1	0.6382238592
2	0.6151168009
3	0.5951059825
4	0.5770866496
5	0.5613509598
6	0.5462947286
7	0.5334737523
8	0.5229130656
9	0.5127529424
10	0.5038362172
11	0.4955460358
12	0.4885773341
13	0.4823729528
14	0.4764016673
15	0.4714594269
16	0.4667464218
17	0.4624787496
18	0.4588213399
19	0.455439743
20	0.4525390193
21	0.4495922241
22	0.446869016
23	0.4442070287
24	0.4419513524
25	0.4401894379
26	0.438297521
27	0.4365901922
28	0.4349864502
29	0.4335129013
30	0.4322089717
31	0.4311614075
32	0.4298298518
33	0.4288540446
34	0.4277938894
35	0.4268333664
36	0.4258435008
37	0.4249413783
38	0.4240478694
39	0.4231888606
40	0.4226419398
41	0.4219525477
42	0.4212483546
43	0.420547554
44	0.4200611928
45	0.4193160426
46	0.4187439728
47	0.4182103755
48	0.4174478455
49	0.416843305
50	0.416475764
51	0.4161115061
52	0.4157674306
53	0.4152182159
54	0.4146144536
55	0.4142402064
56	0.4137378871
57	0.4132002818
58	0.412730924
59	0.4122974904
60	0.4117603658
61	0.4113644053
62	0.41088856
63	0.410451505
64	0.4101718369
65	0.409654658
66	0.4093877691
67	0.4090734482
68	0.4086030782
69	0.4083639247
70	0.4080621923
71	0.4078046748
72	0.4073678589
73	0.4070582987
74	0.4066831818
75	0.4064070918
76	0.4061834437
77	0.4059067154
78	0.405521403
79	0.4052932256
80	0.4047624105
81	0.4046089808
82	0.4042205912
83	0.4039524841
84	0.4036485723
85	0.4034657745
86	0.4032374064
87	0.4030988108
88	0.4028455582
89	0.4026493123
90	0.4024518331
91	0.4022009532
92	0.4019789861
93	0.401827685
94	0.4015931091
95	0.4011776454
96	0.4009164581
97	0.4005748062
98	0.400372406
99	0.4000987091
100	0.3999667638
101	0.3995149587
102	0.399161939
103	0.3989965286
104	0.3988149007
105	0.3986419296
106	0.3985152181
107	0.3982696838
108	0.398143074
109	0.3979479955
110	0.3976384583
111	0.3971768316
112	0.3968279012
113	0.396485616
114	0.3963302104
115	0.3961184311
116	0.395867012
117	0.3957315496
118	0.3955016149
119	0.3952989019
120	0.3950150833
121	0.3946766408
122	0.3945561167
123	0.3945374095
124	0.3944212341
125	0.3941572876
126	0.3938441772
127	0.3936641184
128	0.3933662618
129	0.3931008072
130	0.3929025675
131	0.3927564392
132	0.3922730865
133	0.3919898733
134	0.3916580607
135	0.3914517212
136	0.3912043966
137	0.3908839518
138	0.3904954325
139	0.3901993561
140	0.3900543747
141	0.3899087906
142	0.3896500473
143	0.3893667959
144	0.3891121928
145	0.3889712296
146	0.388856308
147	0.3886525447
148	0.388559672
149	0.3883790716
150	0.3880419057
151	0.3877595469
152	0.3875217743
153	0.3874442317
154	0.387201533
155	0.3869121246
156	0.3864076869
157	0.3862798869
158	0.3860382614
159	0.3858413391
160	0.3857655716
161	0.3855226186
162	0.3852618561
163	0.385074295
164	0.3847116648
165	0.3845150477
166	0.3842558263
167	0.3840475515
168	0.3839484762
169	0.3836973852
170	0.3834483541
171	0.383317009
172	0.3831438446
173	0.3829357478
174	0.3827699687
175	0.382473203
176	0.3823826574
177	0.3822204997
178	0.3819783198
179	0.3818067067
180	0.3815147756
181	0.3812426376
182	0.3808711039
183	0.3806276855
184	0.3805133972
185	0.3802243449
186	0.3799546127
187	0.3795915833
188	0.379403244
189	0.3792282613
190	0.3789756902
191	0.3787327728
192	0.378491539
193	0.3781883011
194	0.377948789
195	0.3778144684
196	0.3776354624
197	0.3772847087
198	0.3770101064
199	0.3768472315
200	0.3765989965
201	0.3762789586
202	0.3760250498
203	0.3758879166
204	0.375724762
205	0.3756036657
206	0.3753569183
207	0.3750686315
208	0.3748741735
209	0.3746216049
210	0.3745104014
211	0.3743500392
212	0.3741519012
213	0.3739285685
214	0.3737079239
215	0.3734200541
216	0.3731941833
217	0.3729365896
218	0.3727502111
219	0.372432017
220	0.3722277374
221	0.3718938802
222	0.3716937332
223	0.3714549332
224	0.3712083588
225	0.3710788854
226	0.3709405441
227	0.3705265096
228	0.3703502452
229	0.3699367193
230	0.3697445094
231	0.3696264191
232	0.3692702332
233	0.3690531184
234	0.3688215205
235	0.3685967789
236	0.3684296366
237	0.3681947403
238	0.3680258611
239	0.3679305115
240	0.3676101456
241	0.3674290975
242	0.3673344472
243	0.3671095912
244	0.3668128192
245	0.3665530637
246	0.3663555794
247	0.3660791168
248	0.3658466746
249	0.3654642245
250	0.3653366508
251	0.3651667938
252	0.3649385351
253	0.3647219442
254	0.3645549291
255	0.3643636513
256	0.3641407903
257	0.3638707059
258	0.3636097717
259	0.363463131
260	0.3632906952
261	0.3629788526
262	0.3627516492
263	0.3625254733
264	0.3622118187
265	0.3619806557
266	0.3618955205
267	0.3617016017
268	0.3615666453
269	0.3613215446
270	0.3610264053
271	0.360891173
272	0.3604933764
273	0.3602335027
274	0.3599899101
275	0.3597625109
276	0.3595108236
277	0.3592463862
278	0.3589811427
279	0.358831206
280	0.3586177826
281	0.3584090576
282	0.3582058347
283	0.3580201416
284	0.3576911964
285	0.3574514198
286	0.3572209841
287	0.3570754636
288	0.3568926226
289	0.3567730904
290	0.356356837
291	0.3562065722
292	0.3560963376
293	0.3558284073
294	0.3556674563
295	0.3554974225
296	0.3552971484
297	0.3551565933
298	0.3550763385
299	0.3548646266
300	0.3546072604
301	0.354495121
302	0.354209287
303	0.3538900045
304	0.353557181
305	0.3533807894
306	0.3531175613
307	0.3529052162
308	0.3526754786
309	0.3525260607
310	0.3524070905
311	0.352155131
312	0.3519594243
313	0.3518222644
314	0.3517100054
315	0.3514147568
316	0.3512549782
317	0.3511134008
318	0.3510529035
319	0.3508169238
320	0.3507366409
321	0.3506090813
322	0.3503400815
323	0.3500995471
324	0.3499381078
325	0.3496955058
326	0.3495186717
327	0.3493593356
328	0.3491365941
329	0.3488659401
330	0.3487291349
331	0.3486532135
332	0.3484076118
333	0.3481854591
334	0.3479887835
335	0.3476671626
336	0.3474959068
337	0.3471529299
338	0.3469570999
339	0.3466605975
340	0.3465826658
341	0.3464528224
342	0.3462441419
343	0.3459473712
344	0.3457842242
345	0.3456317215
346	0.3455177409
347	0.3453996658
348	0.3452590917
349	0.3450832532
350	0.3447943865
351	0.3446495743
352	0.3445387192
353	0.3442792536
354	0.3441149737
355	0.3438272591
356	0.3436103172
357	0.3433970388
358	0.3432926852
359	0.3431012828
360	0.3428772914
361	0.3428087349
362	0.3424421641
363	0.3420336355
364	0.3418345426
365	0.3416436564
366	0.3413070602
367	0.3411799482
368	0.3408887507
369	0.3406870232
370	0.3404882774
371	0.340316836
372	0.3401073774
373	0.3399396502
374	0.3396067645
375	0.3394394709
376	0.3392790387
377	0.3390765368
378	0.3389655024
379	0.338810463
380	0.3385096016
381	0.3383452174
382	0.3380424093
383	0.3377582283
384	0.3375258026
385	0.3371891289
386	0.3368697853
387	0.3367357165
388	0.336637366
389	0.3364810524
390	0.3361650505
391	0.3360296173
392	0.3358311602
393	0.3357294337
394	0.3355167923
395	0.3353151843
396	0.3351988144
397	0.3350118497
398	0.334838618
399	0.3345372136
400	0.3343525734
401	0.3342323011
402	0.3340499738
403	0.3338189061
404	0.3336434886
405	0.3335284068
406	0.3333844376
407	0.3332240105
408	0.333053744
409	0.3328322627
410	0.3326611226
411	0.3325022405
412	0.3323186913
413	0.3321285489
414	0.331996858
415	0.3318915253
416	0.3315829328
417	0.3313634046
418	0.3311953875
419	0.3310616544
420	0.3309261665
421	0.3308111394
422	0.3306549276
423	0.3304753532
424	0.3303695768
425	0.3301519279
426	0.3300268974
427	0.3296771202
428	0.3294968974
429	0.329231116
430	0.3290417417
431	0.3289612071
432	0.3286387749
433	0.328255792
434	0.3281561203
435	0.3279515038
436	0.3278067207
437	0.3276117605
438	0.3274292361
439	0.32724189
440	0.3270293439
441	0.3266944084
442	0.326511219
443	0.3264203313
444	0.3261625977
445	0.3259527613
446	0.3256689949
447	0.3254962209
448	0.3253267899
449	0.3250168508
450	0.3249513461
451	0.3247981936
452	0.3245811818
453	0.3242583389
454	0.3241067365
455	0.323997481
456	0.3237884649
457	0.3235579796
458	0.3233129578
459	0.3232575124
460	0.3230699832
461	0.3229208056
462	0.322736318
463	0.3225462151
464	0.3223718147
465	0.3221604589
466	0.3219635544
467	0.3218233833
468	0.3217337646
469	0.3215645294
470	0.3214664154
471	0.3212602399
472	0.3210392634
473	0.3206128222
474	0.3204771729
475	0.32028081
476	0.3200307655
477	0.3198742307
478	0.3196684265
479	0.3195191307
480	0.3193300908
481	0.3192214266
482	0.3191317266
483	0.3189659386
484	0.3188799833
485	0.3187285372
486	0.3185971514
487	0.3183082352
488	0.3182008324
489	0.3181376712
490	0.3180341123
491	0.3178057454
492	0.3176217715
493	0.3174576836
494	0.3172622108
495	0.3170816409
496	0.3168656527
497	0.316796861
498	0.3166439845
499	0.3163955332
